nama,komentar,sentimen,waktu
Junus Widodo,"Sebenarnya kepasrahan kepada Allah SWT adalah solusi, sekolah harus terus tatap muka dengan protokol kesehatan yang ketat.",netral,2020-09-12T14:25:43Z
Ahmad Tajul Arifin,"Sebelumnya saya fahami betapa sulitnya pak mentri melakukan itu, dan saya menghargai. Hal ini saya sampaikam hanya memaparkan keadaan saja bukan bertujuan memojokan atau apapun yg bersifst negatif.\n\nSebelumnya mohon maaf, ada yg hendak saya sampaikan, satu sisi yg terabaikan dari segala sesuatu ini.\n\nBagaimana dengan beban tambahan kepada seorang guru yang belum memiliki kecukupan finansial bahkan minim!? (Misal dgn gaji dibawah 1jt per bulan)\n\nBiasanya bisa melakukan kerja sampingan, tapi dgn model pendidikan baru tidak bisa.\n\nSedagkan belum lama ini ada subsidi bantuam kepada pihak2 pegawai yg itu BUKAN pihak2 guru yg krisis finansial.\n\nSdgkan jika dilihat pegaway yg saat ini mendapat subsidi, itu masih berkecukupan daripada guru2 yg gajinya dibawah 1jt atau bhkan minim bgt. \n\nDan pegaway yg mndapat subsidi bukan guru.",netral,2020-09-12T14:04:16Z
Ruslan Rusid,Sebaiknya mundur krn pedidikan akan hancur,negatif,2020-09-12T09:03:26Z
Belajar Sejarah Yuk!,"Sebagai guru dalam 5 bulan terakhir akhirnya ""maksa"" buat konten YouTube pembelajaran. Sebelumnya hanya untuk simpan file. Mari isi konten pembelajaran yang serius tapi asyik. Semangat guru dan pelajar Indonesia kita bisa melalui ini.",positif,2020-09-11T01:19:17Z
wawan arenda,sebagai anak sma seneng. smk kek ane. bingung ini boy,negatif,2020-09-11T01:08:22Z
Listiarsih Ambarini,Seandainya pak nadiem datang lebih awal 20 th yll ... terus maju pak ....,positif,2020-09-11T00:32:13Z
Sam Radcliffe,Seandainy mentri2 bs kaya gini smua.. Bukan karena gara2 dapat jatah partai.,positif,2020-09-10T18:15:51Z
Aditya Arlungga,"sbner nya pak nadiem mmberikan suatu persentasi yang jelas d media besar atas program dia,biar tdak ada kesalahan pahaman.karna system yang dia bangun itu bagus tapi kurang jelas saja",positif,2020-09-10T06:04:45Z
DAPUR KOALA,"Sbg guru mau tanya pa mentri: knpa kurikulum adaptid br rilis agustus ini pdhl kementrian pnya wktu 3 bln dr maret-juni shngga memasuki ajaran br sdh adaptif dg covid. Dr sblm juni guru2 di daerah sdh matur bhwa kurikulum normal tdk bs buat daring,kesian siswa. Mtr nwn",negatif,2020-09-09T15:42:49Z
Wanto Azka,Sayangnya dia jdi menteri pas ad wabah gini... ?? ?? Jdi lebih beratt dri semua kebijakan yg hrs diambil... Yg kontra kaykanya emang merasa lebih pinter,netral,2020-09-09T04:57:08Z
The Outcast Sumba,"sayang kalau menteri seperti ini di-reshuffle, akhirnya program yang luar biasa jadi terpotong, dan penggantinya belum tentu memiliki program atau kompetensi yang mendukung di kala pandemi baru yang hampir setiap negara juga bingung menanggulanginya karena dampaknya ke setiap aspek kehidupan..",positif,2020-09-09T03:55:03Z
Fairus Alkafi,Saya yakin pak mentri ingin meruba pendidikan lebih berkualitas di negeri ini. Saya hanyak ingin 1 pak mentrin guru swasta di pikirkan kesejahteraanya biyar sama antar negeri & swasta. Di swasta masi banyak guru yg berpenghasilan di bawah 500 Ribu??????,positif,2020-09-08T23:20:20Z
Bung Kus,Saya yakin mas menteri bisa melalui dan mengeluarkan kebijakan? yang tepat saat kondisi seperti ini.??,positif,2020-09-08T23:10:57Z
I Nyoman Putu Suwindra,"Saya tidak pernah membayangkan tahun 2003 (sekitar 18 tahun yang lalu) saat menulis tesis S2 di UGM dengan topik: Model pembelajaran fisika SMA berbasis web, walaupun sempat diragukan oleh pembimbing dan penguji mengatakan model ini bisa diterapkan jika menteri dikbud mempunyai latar belakang pendidikan di bidang teknologi informasi. Ternyata di masa pandemi covid-19 menjadi kenyataan. Saya sangat mengapresiasi gebrakan Bapak Menteri Nadiem. Semoga sukses...!",positif,2020-09-08T22:05:04Z
Marq Official,"Saya tidak merasakan Corona di kota saya, banyak orang yg pergi kesana sini tnpa memakai masker tidak terkena Corona #dimanacoronakntl",negatif,2020-09-08T19:33:11Z
David Oktavianus,saya tau tugasnya pak nadiem berat kalau mau selamatkan generasi muda bagusnya buat asrama d suatu pulau dan isolasi antara guru dan murid selesai. jadi d pulau itu berkumpul murid dan guru ( mereka di isolasi) dan ini kita tunggu sampai dapat vaksin. ya konsekuensi anak pas ga ketemu keluarga tapi bisa di akali ya telpon atau wa call. simpel tepat dan tidak asa krisis pengajaran.,negatif,2020-09-08T17:15:13Z
Reza Ramadhan,saya sudah lelah dengan tugas online terus (,negatif,2020-09-08T15:24:36Z
tusniyah nia,"Saya sudah bentuk kelompok belajar kecil. seminggu 3x pertemuan, 3 hari PJJ",positif,2020-09-08T13:01:54Z
Ikram Gunawan,Saya stand sama pak Nadiem...,positif,2020-09-08T06:30:26Z
Dahlia L2,"Saya sngat senang dan bangga menjadi ujung tombak pendidikan(guru) dgn adanya pemimpin seperti beliau. Dan sya berusha akan mngikuti program"" beliau yg memang untuk membangun generasi yg unggul...dan berkarakter....????????????????????",positif,2020-09-08T00:33:10Z
Ariel Marciano,Saya sma tapi saya tetap bersyukur puji Tuhan aku karena pandemi aku bisa mem fokuskan ke bakat saya dan puji Tuhan saya sekarang sudah menjadi guru musik,positif,2020-09-07T18:58:11Z
Randy channel YT,"Saya sih kasihan kepada murid dan orang tua murid yang tidak mampu/hidup di garis kemiskinan, jangankan beli hp dan kuota tiap bulan buat makan sama nasi doang aja susah apalagi pakai lauknya, ada ratusan juta masyarakat Indonesia yang hidup di bawah garis kemiskinan...\n Saya sedih saya menangis, semoga saudara ku dari Sabang sampai Merauke yang hidup nya di bawah garis kemiskinan untuk di dunia kalian menderita namun saya doakan di akhirat nanti surga dan nikmat dari Tuhan,Amin...",negatif,2020-09-07T15:25:09Z
ady ferdiansyah,saya setuju dgn pemerataan pendidikan pak nadiem dgn tujuan agar semua dapat mengenyam pendidikan...hanya saja saya tdk setuju dgn sistem ppdb kemarin yg diberlakukan yg lebih mengutamakan usia dibandingkan jarak dan nilai...jelas2 semua sudah ada sistematisnya sesuai tahapan yg ada...jadi buat apa ada aturan dan sistem tahapannya kalau ternyata pelaksanaan di lapangan tdk sesuai???,positif,2020-09-07T06:44:39Z
Adythia Ranov,"Saya sertuju dgn pendapary pak mentri , jadi mulai deket dgn orang tua antra anak , dan ryahu kebiasaaan anak kalo dia ngaa sekolah",positif,2020-09-07T04:03:45Z
ruang belajar,Saya senang dengan kebijakan mas menteri ini,positif,2020-09-06T23:36:21Z
jogaming,"saya selalu setuju apapun yang dilakukan pemerintah,ya saya tau ini masa yang sangat sulit mungkin ini level terakhir/bos,saya awal merasa seneng seneng aja asik jam nya sebentar tetapi semakin lama pembelajaran ini semakin kesini,biasa saya sekolah sampai jumat tapi sekarang sampai sabtu,belajar nya emang cuma 20 soal misalnya tapi kami lebih sering disuruh meringkas ber halaman halaman,guru yang ga pernah kasih cara pengertian cuma dikasih tugas kumpul tugas kumpul dah lah ya saya tau bakal susah,jadi ini permintaan saya sebagai murid yang tidak dapat diskon wkwkwk,untuk memilih sekolah dari pada online karena online ini saya jujur bosan dan saya sambil mengerjakan tugas sambil mendengar podcast ini (tugas yang lagi lagi meringkas)\nsaya bukan orang yang selalu benar dan saya sangat tau betapa sulitnya pada saat ini tetapi saya minta buka sekolah walau cuma 50% batre bocor (saya ga pake data tapi wi fi ) \nsemua sekolah bahkan mungkin mengajar saat jepang diserang bom yang ditanya guru artinya pendidikan sangat penting dan juga saya mengaku saya sangat lebih malas dirumah ini \nsaya sama selalu berpikir skema terburuk karena saya percaya dunia ini sudah terbalik\nsaya sangat berterima kasih pada semuanya\nsemangat pak nadiem\nmaaf jika saya ada salah tulis\nsaya cuma bocil yang kangen sekolah.\nmati demi pendidikan ???",positif,2020-09-06T15:02:36Z
Sofia Dinata,"Saya selalu merasa lelah dengan adanya PJJ ini tidak ada satupun materi yang saya mengerti, setiap saat selalu menangis dan terkadang muncul keinginan untuk bunuh diri",negatif,2020-09-06T13:22:55Z
Irza MS,"Saya sebagai siswa bukan menentang pembelajaran ini tapi agak sedikit kontra,\nSoalnya guru di SMA hanya memegang satu jenis mata pelajaran saja kan, sedangkan kami hampir mencakup semua pembelajaran itu mau ga mau kami harus kerjain semuanya tugas itu dan ada batasan waktu untuk di kumpulkan,jadi ada kami harus kejar waktu buat satu tugas dan belum lagi ada tugas baru yg masuk, mksd saya, karena guru SMA hanya memegang satu mata pelajaran jadi dia ga akan tau gimana mata pelajaran yg lain masuk, misalnya ini, tugas PKN di kasih hari senin batas pengumpulan hari Sabtu,nah hari Selasa masuk tugas geografi batas pengumpulan Jum'at,jadi guru2 ini yg beda mata pelajaran bodo amat gitu sama tugas yg baru di kasih,dia cuma mikir pembelajaran dia sendiri dan tugas dia sendiri, jadinya murid mau susah atau stress karena tugas numpuk yaaa saya pikir bukan hak mereka,karena mereka hanya memberikan tugas pembelajaran mereka bukan tau bagaimana kondisi muridnya, belum lagi masalah kuota hp dan lain2, masih ada temen saya yg tidak bisa beli kuota ataupun HP,karena hp nya rusak atau apa, ini mempengaruhi nilai dan naik atau tidaknya murid,karena selama pendemi ini teman2 saya mayoritas nilai ancur Karena faktor masalah kuota, mereka ga bisa kirim tugas karena kuota dan HP, \nAda kah solusi lain selain seperti ini supaya murid tidak terjebak dengan sistem belajar seperti ini,\nContohnya guru ke masing-masing daerah dan buatlah kelompok agar guru itu bisa ngajar tatap muka, misalnya gini, hari Senin guru MTK ke desa A buat ngajarin murid yg daerahnya dari situ kumpulkan lah mereka di suatu tempat seperti pinjam lah SD sementara tapi pake protokol kesehatan, atur jarak juga, nah selesai ngajar besoknya guru silahkan ke daerah lain atau dua hari setelah nya, aturlah seperti sekolah biasanya tapi dengan menggunakan hari bukan jam,,,\nItu saja pendapat saya, saya merasa kurang efektif saja karena saya kelas 12 saya takutnya karena keterbatasan kuota nilai saya jadi agak kurang Bagus,saya butuh nilai yg bagus untuk menempuh pembelajaran berikutnya siapa tau saya di tolak di universitas yg saya inginkan gara2 faktor nilai yg bermasalah karena sistem pembelajaran ini,,,,\n, MOHON maaf klo saya agak belibet dan kurang jelas ngetiknya karena ini sambil kerja tugas,jadi pusing lah :(, mohon maaf klo ada tutur kata yang salah,\nSEKIAN DAN TERIMA KASIH",negatif,2020-09-06T07:14:27Z
Rahma niar Azi,Saya sebagai praktisi pendidikan dan sekaligus orangtua sangat siap dengan kurikulum tersebut,positif,2020-09-06T04:18:43Z
Laki Laki,"Saya sebagai manusia Indonesia yang lama tinggal dan belajar di Indonesia agak sedikit bingung dengan cara pembenahan pendidikan di Tanah Air, koq saya memahaminya cara menjalankan suatu program yang pak nadiem (tim Menteri) anggap benar langsung di programkan dan dijalankan tanpa memahami tentang kultur budaya dan masyarakat yang sangat berbeda baik itu dari segi ekonomi, pendidikan keluarga (kebiasaan dalam keluarga), budaya dan lingkungan (kondisi alam). \nMemang saya mengerti pendidikan pak menteri sendiri mungkin sangat modern dan tanpa anda memahami semua system yang ada dan berlaku di Indonesia lalu anda bisa merubah pendidikan di Indonesia secara menyeluruh, maaf pak sangat jauh seperti yang anda lakukan sekarang ini (hasilnya), saya mohon tolong jangan buat kacau dunia pendidikan Indonesia.\nBelum tentu yang anda anggap BAIK diterapkan di Indonesia itu hasilnya akan BAIK, coba tolong lihat secara baik dan pelajari dulu secara baik.",negatif,2020-09-06T03:57:27Z
Hilma Oktavia,Saya sebagai guru sangat merasakan sekali dampak covid19. dari segi pembelajaran daring sangat tidak efektif. Sejauh Mana pun canggih nya teknologi komponen tatap muka sangat penting,negatif,2020-09-06T03:30:16Z
pisgi 28,"Saya sebagai guru merasakan kesulitan terutama di awal2 pandemi, materi harus disampaikan melalui daring. Tapi ya mau tidak mau harus menyesuaikan diri dengan keadaan. Kalau dulu saya bikin video hanya untuk vlog pribadi sekarang jadi harus belajar membuat video pembelajaran untuk siswa-siswi saya. Walau pun masih acak-acakan editing dan penyampaian nya... minimal sudah berusaha dan dikoreksi sambil jalan. Semoga semua ini lekas berlalu dan kita bisa bertatap muka lagi. Pesan buat para pelajar, tetap semangat ?? apapun keadaannya dan kesulitan nya kita hadapi bersama dan semoga kalian semua sukses di masa depan ?? menjadi generasi muda yang cerdas, sehat dan cinta akan Tanah Air Kita INDONESIA ?????",positif,2020-09-06T02:34:12Z
Sri Utami,"Saya sebagai guru dan sebagai org tua saya harus terus belajar setiap hari, berusaha Dan berdoa, melakukan yg terbaik bagaimanapun keadaannya demi mencerdaskan dan menyelamatkan anak bangsa",positif,2020-09-05T09:34:26Z
cecep arif,"saya sarankan cpt buka lg sekolA,anak saya jd nakal,bodoh dan melawan orang tua,",negatif,2020-09-05T06:07:56Z
Nova Daisy Sonja Mewengkang,Saya sangat respect to him. Keren mas Nadiem,positif,2020-09-04T23:29:38Z
Cipta Sukses,"Saya punya dua anak sd kelas 3 dan 4 dan sekolah disekolah negri...yang menjadi uneg uneg saya adalh guru hanya memberikan foto materi dan soal,yang mana belum dipahami oleh anak diusia tersebut,saya harap para guru bisa membuat video penjelasan singkat untuk menjelaskan ke murid2 secara online,agar anak anak tidak kehilangan moment pembelajaran dan atmosfir belajar ...",negatif,2020-09-04T11:55:55Z
AD Chanel,"Saya punya anak 2,4th perempuan dia sangat pintar dan dia sangat sekali aktif dah mudah mengingat sesuatu hampir semua warna dia hafal.hampir semua angka dia tau dan hampir semua gambar buah, kendaraan dan hewan dia tau.? Sebagai oarang tua saya sangat ingin sekolah di buka lagi. Karena setiap hari anak saya selalu menanyakan sekolahku mana? ????????",netral,2020-09-04T07:23:30Z
kmas eka,"Saya positif saja artinya sekolah yang selama ini nggk ada listrik, jaringan jelek, mau roboh, nggk tersentuh teknologi yang terlantar dan tak dianggap terekspos pada kebijakan pak nadim ini.",positif,2020-09-04T04:02:16Z
SukaSukaKu,"Saya pikir Murid Indonesia, KESADARAN BELAJAR mandiri tuh masih kurang. Bagaimanapun programnya jika kesadaran belajar setiap siswa tidak ada akan sulit",negatif,2020-09-03T19:19:55Z
Nurali Fakhrurrozi,Saya pen masuk kelas ...yg mulia....,netral,2020-09-03T19:04:14Z
Tyas nabilah,"Saya pembelajaran online dan tatap muka, namun pada saat pembelajaran online banyak guru yang tidak hadir karena harus mengajar siswa yang melakukan pembelajaran tatap muka, sangat tidak efektif sekali saya juga rugi kuota, apalagi guru guru saat melakukan pembelajaran online hanya memberikan tugas tidak menjelaskan materi",negatif,2020-09-03T12:41:07Z
Layli Hamida,Saya pada Anda Pak Nadiem. Semangat Pak,positif,2020-09-03T10:29:35Z
Irfan Hakim,Saya orang Sumatera Barat. Ibu saya seorang guru senior di sebuah sekolah dasar swasta di area Kabupaten Agam. Untuk sekarang setelah semester baru mulai ada pembelajaran dengan tatap muka di sekolah selama dua hari dan empat hari PJJ. Dan saya rasa ini adalah praktik dari ungkapan Mas Nadiem di menit 20:08 sehingga beban tidak hampir 100% ada di orang tua. Karena kita tahu tidak semua orang tua murid bisa membimbing anak mereka di rumah.,netral,2020-09-03T09:56:52Z
Muhammad Pasha Nabeel,Saya om dri jam 8 pgi sampai jam 10 malam cmn gegara fisika nauzubillah ngeri bgt soalnya bnyk kek gasesuai sama keadaan mna gadiajarin sampe mke jurus brainly gamempan om. 1minggu tiap hari saya pusing gegara memahami rumus dengan tanpa basic dri materiny itu tapi udah dikasih soal yg critical thinking ???? sedih om,negatif,2020-09-03T09:30:56Z
Heru Prihat,saya ngakak dengerin penjelasan mas menteri. lbh condong sbg politisi drpd sbg bpk pndidikan.,negatif,2020-09-03T05:49:46Z
Cap Kapiah,saya nda dapat poin penting atau ide pokok dalam pendidikan yang di bicarakan pak mentri.....,negatif,2020-09-03T04:35:57Z
Eka Mustavida Ratnasari,Saya nangis liat podcast ini.\nAnak saya menjadi salah satu generasi yg dirugikan.\n????????????\n\nSemoga covid segera hilang,negatif,2020-09-03T00:00:28Z
Beruang Madu,"Saya naik kelas 12 smk dimana saya harus mendapat lebih banyak praktek daripada materi sedangkan setiap hari hanya materi dan tugas dimana tidak setiap materi ada penjelasannya sedangkan selama ini saya hanya berpedoman pada materi kelas 11 yang sangat sulit dipahami, sedangkan zoom/google meet sungguh sangat jauh dari belajar tatap muka secara langsung,",negatif,2020-09-02T17:58:59Z
Berita VIRAL,Saya mewakili para siswa/i yg terhalang pembelajaran secara daring karena keterbatasan ekonomi !!\nSeenggaknya kami diberi kuota gratis ataupun promo \nBnyak tugas masuk tiap hari tapi kuota sekarat\nMau beli lagi pun harus mikir orang tua gak punya duit\nJadi tolonglah dikasih pertimbangan atas masalah ini??,negatif,2020-09-02T15:06:08Z
Lia Mhasan,Saya merasa mas mentri sudah banyak melakukan terobosan dalam pendidikan dan membuat tugas guru lebih efisien. I proud of you mas menteri. Teruskan terobosan baru yg lebih amazing.,positif,2020-09-02T14:50:25Z
Rizky Muhyidin,"saya menghargai keputusan pak menteri tapi apakah kalau kuliah daring ini dilanjutkan krisis pendidikan menurun?\ntidak pak, malah buat mahasiswa baru depresi dan para dosen yang hanya memberi tugas tanpa menjelaskan lebih detail.\ntolong pertimbangkan lagi kuliah online ini pak.",negatif,2020-09-02T14:32:09Z
ilhamnurh,"Saya mendukung kebijakan yang dibuat pak nadiem, semoga kebijakan yang dibuat bisa memberikan perubahan dalam sistem pendidikan di Indonesia",positif,2020-09-02T14:16:43Z
Petrus Segetmena,"saya melihat di sini. ada orang cerdas banget, pak NADIEM MAKARIM.SALUT BANGET PAK, SEHAT DAN SALUT SEKALI PAK.",positif,2020-09-02T13:32:56Z
Iandz Ary,"Saya melihat adanya eksperimen pembelajaran di dalam pendidikan saat ini.... Ya semoga berhasil dan sukses lah pak Nadiem, klo ga berhasil teruslah bereksperimen...",positif,2020-09-02T13:24:43Z
Muhammad Akhdan Rafif,Saya mau otaknya mas nadiem,positif,2020-09-02T12:37:17Z
Ahmad Iqbal Arbani,"Saya masih sma saya juga merasa hal tersebut. Pembelajaran online kurang membangun rasa, ya kayak pak Nadim tadi. Terus terang saya lebih mengerti lebih masuk ilmu yang di jelaskan lewat tatap muka, pembangunan karakter saat pembelajaran tatap muka juga lebihh unggul daripada online. Ini yang saya rasa aja, mungkin ada ketentuan yang lebih baik untuk indonesia saya sebagai pelajar siap menjalankan apa yang di tentukan. Saya tau ini susah dan saya mengerti itu. Tapi pembentukan karakter anak mungkin sangat berpengaruh jika tidak ada tatap muka. Saya juga tidak mengerti tentang itu semoga ada solusi yang baik untuk masalah ini. Sekali lagi ini hanya pendapat saya sebagai pelajar yang saya alami sendiri.",netral,2020-09-02T12:31:38Z
Indra Arifin,Saya masih bertanya? .. kenapa sih kebijakannya itu harus daring(sekolah online)? Kenapa tidak diliburkan saja saat pandemi ini?,netral,2020-09-02T12:19:33Z
Kafe Wayang,"Saya mahasiswa tingkat akhir PTS di Jawa Timur, yang gagal menyelesaikan skripsi karena bimbingan online tidak berjalan dengan baik.",negatif,2020-09-02T04:06:41Z
Tuan MUDA,"saya lihat wa group anak saya dari sekolah.saya lihat hanya foto buku tugas dan dialog guru "" kerjakan halaman sekian ya anak-anak "".timbul pertanyaan dari saya apakah materi yang ingin di sampaikan sekolah/guru bisa sampai ke anak didik?sementara secara face to face saja belum tentu cepat diserap oleh anak didik.kebetulan anak saya masih kelas 3 SD yang menurut saya sulit untuk memahami arah materi tanpa harus di bimbing dan di jelaskan secara detail.dan yang sulit di terima lagi setelah anak-anak mengerjakan tugas dan di kirim via foto wa, untuk lanjutannya tidak ada koreksi dari sekolah apakah jawaban soalnya benar atau salah.Disini saya ada kekhawatirkan kalau anak didik salah menerjemahkan sebuah materi.Bukan saya sebagai Orang tua Anak tidak mau mendampingi anak dalam belajar,tapi kami sebagai orang tua belum tentu menguasai materi tersebut.Mungkin kejadian ini hanya Oknum pendidik saja yang terkesan lepas tanggung jawab atau bisa di bilang males.Saya tetap apresiasi guru ditengah pandemi saat ini.",negatif,2020-09-02T04:04:51Z
Hani Ifah,Saya kerja ngajarin anak dilonggarin sama guru bisa dikirim sampe malam tapi di saat malam saya pulang kerja anak saya ga siap sama pelajaran malah kebanyakan ga ngerjain capek lgsg tidur ujung2nya ngomel ngoceh atau mamanya yg ngerjain (single parent),negatif,2020-09-02T01:37:25Z
Sidiq 1234,"Saya kasian sama anak anak mereka jadi cuek,gak peduli sama pelajaran jika di online kan",negatif,2020-09-02T00:00:45Z
Nina Surtina,Saya kagum sekaligus takut dengan kebijakan Mas Mentri ini...karena dampaknya akan dirasakan tidak sekarang tapi oleh generasi Indonesia 10 tahun kedepan...,positif,2020-09-01T23:19:22Z
Yanti Manalu,Saya kagum dengan mas Menteri Nadiem Makarim...\n\nBeliau memiliki pemikiran luar biasa dan membuktikan bahwa kinerja Menteri non parpol jauh lebih nyata dan berani mengambil resiko demi menghasilkan perubahan yang positif.,positif,2020-09-01T22:54:34Z
Pejuang Skripsi,Saya justru berharap perampingan kurikulum tetap berlaku untuk seterusnya...,positif,2020-09-01T18:05:11Z
Sis Yono,Saya juga terlanjur benci sama mendikbud,negatif,2020-09-01T17:40:20Z
Dany Dany,saya ingin sekolah normal lagiiiiiiiiiiiiiiiiiiiiiiiiiiii,netral,2020-09-01T12:58:35Z
Eka Kartika,"saya harus bilang bahwa suatu keberuntungan dimasa pandemi ini beliau yang menjabat sebagai menteri pendidikan. karena masa yang akan datang kita semua tidak tau apa yang terjadi, dan dengan rendah hatinya beliau menjelaskan segala konsekuaensi yg akan terjadi tanpa memberikan harapan berlebihan tapi diwaktu bersamaan ada kemungkinan masa depan yg baik dijelaskan dengan cara yg masuk akal. \nkemudian seketika saya sadar bahwa kita sekolah, kementerian dan lembaga pendidikan hanyalah pendidikan formal biasa yang membantu orang tua untuk mendidik anak-anaknya. semoga para orang tua di Indonesia diberikan semangat belajar yang sama dengan anak2nya, semoga kita semua bisa sama2 belajar menjadi lebih baik.... amin",positif,2020-09-01T12:32:50Z
Muhammad Rifky,Saya harap pak nadiem meniadakan sistem zonasi pada sekolah menengah dan saya harap jg kalau pak nadiem membuka dan memperluas lowongan kerja di bidang apapun itu supaya angka pengangguran di indonesia tidak semakin parah dan saya minta jangan hanya org yg tinggi yg bisa sekolah tinggi entah itu di bidang penerbangan angkatan laut atau kemiliteran dll,netral,2020-09-01T10:16:59Z
Cinta Ulama Aswaja,Saya harap anda tidak terus membela diri.lihat masalah ini dengan sejujur jujurnya,negatif,2020-09-01T10:15:34Z
Ifan A,"Saya hanya mengamati kegiatan pembelajaran di lingkungan saya:\n1. Sekolah negeri terutama sd jadi di pindah ke rumah2 murid secara bergiliran, artinya tetap saja ujung2nya berkumpul, dan orang tua murid bergiliran juga piket bersih2 ke sd, belum kuota internet juga harus ada terus.\n2. Tuan rumah setidaknya harus membeli cemilan untuk guru, murid, dan orang tua murid yang berkumpul, guru juga harus mencari2 rumah murid yang menjadi giliran untuk dijadikan tempat belajar.\n3. PR yang menumpuk kadang jadi kerjaan orang tua juga, jadi yang sekolah murid atau orang tuanya?\n4. Dalam keadaan pandemi pun, ada teman saya yang tetap bayar full biaya kuliah, apa memang tidak ada keringanan? Atau memang saya yang tidak update soal kebijakan atau apapun itu? \nMakasih, itu yang saya liat dilingkungan saya, bagaimana di lingkungan anda?",negatif,2020-09-01T08:31:58Z
AUW Channel,"Saya guru, dengan adanya pandemi ini membuat saya tidak ambil pusing dengan segala kebijakan2 para pejabat. Yg saya pikirkan bagaimana agar siswa siswi tetap mendapatkan materi seperti dikelas, hingga akhirnya saya membuat video pembelajaran seperti https://www.youtube.com/watch?v=Lhvu05YKCBs.\nSaat membuat video pembelajaran ini saya membayangkan kalau saya sedang di dalam kelas sedang bertatap muka dengan siswa. Padahal saya sesungguhnya berada di dalam ruangan kelas yang kosong... disitu saya merasa sedih.\nYang membuat saya senang jika para siswa melihat video saya dan merasa mereka seolah belajar di kelas bersama gurunya. Mereka tidak merasa kehilangan moment belajar bersama gurunya.... Bangga dengan siswa siswi yang punya semangat belajar tinggi....",positif,2020-09-01T04:55:34Z
Dodik Hariyadi,"Saya guru SD\n\nSaya sudah berusaha melakukan PJJ dengan Daring & membuat video pembelajaran di YouTube \nseperti https://youtu.be/20TeNOlz6ug\n\nTapi saya menyadari, kegiatan PPJ & video yg sudah saya buat tidak banyak membantu siswa dalam menerima pembelajaran. \n\nKarena itu saya tetap melaksanakan home visit, walau Dinas Pendidikan melarang, tetapi saya telah mendapatkan izin orang tua secara tertulis & menerapkan protokal kesehatan.\n\nSemoga pandemi ini segera berlalu, dan kita para guru dan siswa segera bisa bertemu dikelas untuk kembali belajar bersama-sama.",positif,2020-09-01T04:37:03Z
irda rahman,"Saya guru SD di Jakarta. Dan setuju beberapa pernyataan pak Mentri.\n\nIyes pak Mentri, guru dan sekolah senang menyambut blended school (online dan tatap muka) karena online learning gak efektif, sinyal suka on off. Dan saya udah kangen belajar tatap muka sama murid-murid\n\nIyes pak Mentri, ini trial and eror. Jadi kita jangan mengharapkan kesempurnaan. Karena kita cuma bisa melakukan yg terbaik untuk anak didik kita. Seluruh dunia pun begitu, belum ada sistem yg sempurna di jaman pandemi ini.\n\nIyes pak Mentri, ada hal positif yang saya dapat dr pandemi ini. Saya jadi bisa edit video pembelajaran ala2 youtuber, belajar teknologi baru juga. Mungkin ke depannya saya mau bikin channel YouTube ??\n\nIyes pak Mentri, murid-murid sudah kangen sama temen-temen mereka. Hangout secara online gak bisa menggantikan bertemu dan main bersama secara langsung. Sedih denger mereka selalu bilang ""Aku kangen sekolah dan teman-teman"" ??",negatif,2020-09-01T04:36:08Z
RayD GamingYt,"Saya guru MAN, ngajar 10 kelas dengan jumlah 1 kelasnya 30 orang ke atas, yg dilakukan selama pandemi tetap tatap muka dari rumah ke rumah didatangin dengan siswa 5-6 orang. Kerja pagi, siang, sore dari rumah ke rumah siswa. Seru sih, walaupun capek, ttap bersyukur karena apa yg kita sampaikan lebih cepat di tangkap dibandingkan di kasih tugas. Saya benci guru yang ngasih tugas tanpa memberi penjelasan, saya orang idealis bahwa tugas itu tidak bisa dikerjakan kalau tanpa penjelasan lewat muka. Lewat daring?? ""GAK MASUK"" itulah yg di curhatkan para siswa ketika saya ajak ngobrol diselingan pembelajaran lewat tatap muka tersebut. Pelajaran hanya 60 menit, namun dalam waktu segitu ternyata belajar lebih efektif. Saya rasa tergantung gurunya sih, kalau males, ya males, kalau memang senang ngajar dan liat muka2 mereka ketika nemu hal baru dari pelajaran itu asli saya merasa bangga. Banyak hikmah dari pandemi ini, orang2 juga tau mana yg memang bisa ngajar, atau sekedarnya..",positif,2020-09-01T02:57:54Z
Hale Handro,Saya gak mntak bpak utk mnjelaskan pajang lebar. Yg saya mntak sklah sperti dlu lagi bukan skolah daring,negatif,2020-08-31T20:53:54Z
christina dewinuranita,saya ga hepi ga ada UN,negatif,2020-08-31T14:19:20Z
DAFFA x INSKI7,Saya faham Laboratorium pendidikan. ambil langkah yg cepat karena pendidikan jembatan untuk memperbaiki semua. Tks,positif,2020-08-31T14:10:10Z
Herliana Kusuma,"Saya dukung 100% Pak Nadiem... Anda cerdas, sangat kreatif dan inovatif...Indonesia butuh orang2 spt Anda...",positif,2020-08-31T14:03:11Z
